id_votant,bureau_vote,candidat_choisi
2497,Limoges,Marie Rouanna
3346,Toulon,Jean Ticipe
4605,Clermont-Ferrand,Luc Ratif
193,Nice,Marie Rouanna
1703,Nice,Éva Sionfiscal
483,Toulouse,Jean Ticipe
1938,Bordeaux,Jean Némarre
3020,Toulon,Luc Ratif
3110,Dijon,Éva Sionfiscal
3377,Nice,Luc Ratif
4297,Marseille,Éva Sionfiscal
3719,Clermont-Ferrand,Éva Sionfiscal
1234,Toulouse,Luc Ratif
426,Le Havre,Alain Broglio
3265,Paris,Éva Sionfiscal
2845,Tours,Alain Broglio
4243,Strasbourg,Éva Sionfiscal
365,Brest,Luc Ratif
1670,Dijon,Luc Ratif
4465,Toulouse,Alain Broglio
506,Grenoble,Alain Broglio
3075,Reims,Alain Broglio
2563,Grenoble,Alain Broglio
4434,Clermont-Ferrand,Luc Ratif
3352,Grenoble,Alain Broglio
1362,Strasbourg,Luc Ratif
3590,Angers,Luc Ratif
4879,Villeurbanne,Alain Broglio
2131,Limoges,Éva Sionfiscal
885,Le Havre,Alain Broglio
2181,Dijon,Alain Broglio
4548,Lille,Luc Ratif
3055,Clermont-Ferrand,Jean Némarre
3304,Grenoble,Jean Ticipe
1725,Rennes,Jean Némarre
2862,Dijon,Alain Broglio
955,Brest,Éva Sionfiscal
892,Tours,Jean Némarre
619,Lyon,Marie Rouanna
3325,Dijon,Jean Némarre
4301,Marseille,Éva Sionfiscal
4840,Montpellier,Luc Ratif
3417,Grenoble,Jean Némarre
4080,Brest,Éva Sionfiscal
724,Dijon,Luc Ratif
2892,Paris,Marie Rouanna
843,Toulouse,Jean Némarre
403,Nantes,Jean Ticipe
3214,Toulon,Éva Sionfiscal
4827,Nantes,Jean Ticipe
1762,Nantes,Jean Némarre
3799,Lille,Éva Sionfiscal
3616,Clermont-Ferrand,Marie Rouanna
2216,Brest,Marie Rouanna
2085,Toulouse,Jean Ticipe
1258,Toulon,Luc Ratif
440,Clermont-Ferrand,Luc Ratif
4157,Toulon,Jean Némarre
2501,Aix-en-Provence,Alain Broglio
3199,Montpellier,Éva Sionfiscal
2017,Paris,Jean Némarre
1726,Nîmes,Marie Rouanna
4106,Rennes,Jean Ticipe
4406,Lyon,Luc Ratif
4065,Paris,Luc Ratif
2266,Bordeaux,Luc Ratif
282,Bordeaux,Éva Sionfiscal
2004,Villeurbanne,Jean Némarre
2180,Saint-Étienne,Alain Broglio
4442,Villeurbanne,Marie Rouanna
1619,Toulouse,Jean Ticipe
2998,Clermont-Ferrand,Éva Sionfiscal
1692,Villeurbanne,Jean Némarre
1477,Toulon,Alain Broglio
4746,Limoges,Jean Ticipe
3238,Tours,Marie Rouanna
